LDA:     Best: deep         architecture=(128, 64, 64, 64) Accuracy=0.9233 time= 30.4s


Short conclusions:
- PCA70    best model wikiWork     => test Accuracy: 0.9865
- PCA30    best model wikiWork     => test Accuracy: 0.9859
- PCA40    best model wikiWork     => test Accuracy: 0.9855
- PCA90    best model wikiWork     => test Accuracy: 0.9853
- PCA80    best model mnistOptimal => test Accuracy: 0.9849
- PCA100   best model wikiWork     => test Accuracy: 0.9846
- PCA60    best model mnistOptimal => test Accuracy: 0.9842
- PCA50    best model shallowTaper => test Accuracy: 0.9841
- PCA200   best model mnistOptimal => test Accuracy: 0.9831
- PCA300   best model mnistOptimal => test Accuracy: 0.9820
- PCA500   best model mnistOptimal => test Accuracy: 0.9813
- PCA784   best model mnistOptimal => test Accuracy: 0.9813
- PCA20    best model wikiWork     => test Accuracy: 0.9800
- PCA400   best model threeLayerBottleNeck => test Accuracy: 0.9800
- PCA10    best model twoLayerBottleNeck => test Accuracy: 0.9453
- LDA:     best model deep         => test Accuracy: 0.9233
- PCA1     best model wikiWork     => test Accuracy: 0.3175

Notes:
LDA uses at most 9 components (n_classes - 1). It often preserves class-separating directions beneficial for linear classifiers and may help MLPs.
PCA retains variance; increasing PCA dims (10->50) usually improves accuracy but with diminishing returns.
Tuning architectures, learning rate and regularization (alpha) for better accuracy.
If training is slow, reduce hidden layer sizes, increase batch_size, or lower max_iter/enable early_stopping (already enabled here).
